1,"ABX Air","http://www.airborne.com","937.382.5591","CVG, JFK, MIA charters for DHL, TNT, Amerijest. Uniform or business casual. Call Jumpseat Reservations Desk (937-382-5591) M-F 0830-1630 EST up to 14 days in advance. Sameday or weekend reservations call 800-763-3973 x62563 (before 1600 EST) or x2540 (after 1600 EST) Showtime at least 1 hr prior.","800.736.3973",1
2,"AirNet Express","http://www.airnet.com","800.824.6058 ","Lear 35s, C208s, and twin recips large nationwide network. Casual. Check website for skeds. Call dispatch (above - ext. 3) to list. Reservations required.","877-293-8463",1
3,"AirTran Airways","http://www.airtran.com","800.247.8726","Gate check-in. Business casual. Intl available. Check-in 60 min prior.","800-247-8726",1
4,"Air Cargo Carriers","http://aircar.com","414.482.1711 ","Sked and charter cargo Shorts, MKE based, Midwest, East Coast and CA. Business casual. Check website for skeds and j/s info. Call dispatch (above) ext. 1 to list. 1 j/s.","800.253.1711",1
5,"Air Transport Intl","http://www.airtransport.cc","800.643.9022","DC8 freighters, TOL hub. Business casual. Check website for info & skeds. Crew sked for info (above) x1113-15. Most aircraft have 2 j/s. International available. Listing req�d.",,1
6,"Air Wisconsin","http://www.airwis.com","USAIR Reservation","USAirways Express DCA, PHL - East Coast/Midwest. Business casual. Gate check-in NLT 30 min prior. Multiple j/s.",,1
7,"Alaska Airlines","http://www.alaskaair.com","800.252.7522","Nationwide. ANC, LAX, SEA hubs, Canada, Mexico. Casual attire. Gate check-in NLT 30 min prior. International available. Multiple j/s.","8002527522",1
8,"Alaska Central Express","http://www.aceaircargo.com","907.334.5140 ","ACE Air. Beech 1900s, EMB120's, and C207s within Alaska. Casual/warm Alaska attire (no shorts). Check website for skeds. Call dispatch (above, ext. 140). Check in 60 min prior. Outstation check-in with agent or Captain (if listed.)","888.722.0232 ext 140",1
9,"Allegiant Air","http://www.allegiantair.com","702-505-8888","MD80s LAS, SFB, TPA. Smaller markets nationwide & charters. Business attire.",,1
10,"Aloha Air Cargo","http://www.alohaaircargo.com","808.836.5244","737s Hawaii. Check website for skeds. Call dispatch (above) to list.",,1
11,"American Airlines","http://www.aa.com","888-933-5922 (WE.FLY.AA)","Worldwide. Business casual. Gate check-in. Must call non-rev desk 888.WE.FLY.AA to list - select option 3, identify yourself as an other airline employee wishing to non-rev, and obtain your boarding pass prior to security. Check-in with agent if already inside security. Listing req'd.",,1
12,"American Eagle","http://www.aa.com","888-933-5922 (WE.FLY.AA)","RJs, S340s, ATRs, American partner BOS, DFW, JFK, LAX, LGA, MIA, ORD, RDU,SJU. Business casual. Must call non-rev desk 888.WE.FLY.AA to list - select option 3, identify yourself as an other airline employee wishing to non-rev, and obtain your boarding pass prior to security.Gate check-in. Listing required.",,1
13,"Amerijet","http://www.amerijet.com","305-704-9640","727 Cargo. MIA hub to Caribbean, Latin America, Mexico. Check Website for skeds. Call Flight Control (above) up to 24 hours prior to book jumpseat. Listing required.","",1
14,"Ameristar","http://www.ameristarjet.com","800.368.5387","US, Canada, Mexico, South America, and Caribbean charter pax & freighters. Various a/c and skeds.",,1
16,"Arrow Cargo","http://www.arrowcargo.com","305-869-2272","DC8s, DC10s MIA to Central & South America. Operates Fine Air also. Check website for skeds. Call dispatch (above) to list at least 1 hour prior. Business attire. Multiple j/s.",,1
17,"Astar Air Cargo","http://www.astaraircargo.com","866-779-3452 #4","or 866.779.3452 727s, DC8s, A300s US, Europe, Middle East. CVG hub. Call Crew Sked (above, ext. 4) no more than 30 days prior. Call after 1700 EST day of jumpseat to reconfirm. Crew Sked not available after 1200 EST Sat & Sun.",,1
18,"Atlantic Southeast","http://www.flyasa.com","800.221.1212","Delta Connection ATL, CVG, SLC, including Canada, Mexico, Caribbean. Business casual. Gate check-in 1-hour prior. Multiple j/s.",,1
19,"Atlas Air","http://www.atlasair.com","800.462.2012","Worldwide. Business casual. Call dispatch (above, or 718.553.4789, options 2,2, then 3) for skeds. E-listing required via website at least 48 hours prior. Check-in NLT 1:30 prior. Normally 6 j/s available. Listing required.",,1
20,"Bering Air","http://www.beringair.com","907.443.8980","NW Alaska - OME, OTZ, UNK pax & cargo. C208s, B1900s & King Airs. Call (above) prior for info and to list. Check-in 45 min prior. Neat, clean, weather appropriate dress.","907.443.8985",1
21,"Cape Air","http://www.flycapeair.com","800.352.0714","C402s Cape Cod area, Florida, Caribbean, and Micronesia. Gate check-in. Multiple j/s.",,1
22,"Capital Cargo Intl","http://www.capitalcargo.com","800.593.9119","727s & 757s Cargo, MCO base. Nationwide. Call Flight Ops (above) to check skeds and reserve jumpseats, preferably 24 hours prior. Check-in instructions will be provided.",,1
24,"Chautauqua Airlines","http://www.flychautauqua.com","AA DL, US res #'s","American Connection STL, Delta Connection CVG, MCO, USAirways Express BOS, DCA, LGA, PHL, PIT, United Express IAD, ORD. Business casual. Gate check-in NLT 30 min prior. Multiple j/s except on AA flights 1 j/s.",,1
25,"Colgan Air","http://www.colganair.com","800.433.4322","USAir Express BOS, DCA, IAD, LGA, Continental Connection EWR, IAH. United Express IAD. Business causal. Gate check-in. Multiple j/s.",,1
26,"Comair","http://www.comair.com","800.221.1212","Delta Connection ATL, BOS, CVG, LGA, JFK, MCO. Business casual. Gate check-in NLT 30 min domestic, 1 hour int'l. Multiple j/s, international available - pay departure taxes at ticket counter.",,1
27,"CommutAir","http://www.commutair.com","800.525.0280","Continental Connection Northeast, ALB, BOS, CLE. Gate check-in. Multiple j/s.",,1
28,"Compass Airlines","compassairline.com","800-225-2525","EMB175s. NWA Airlink DTW, MEM, MSP. Gate check-in 30 min prior. Multiple j/s.",,1
29,"Continental Airlines","http://www.continental.com","800.525.0280","Worldwide. Uniform required. Gate check-in for domestic flights NLT 45 min. Ticket counter check-in when int'l to pay departure taxes (bring an extra ACM form from U.S.)",,1
30,"Delta Air Lines","http://www.delta.com","800.221.1212","Worldwide. Business casual. Gate check-in NLT 30 min prior dom, 75 min prior int'l - pay departure taxes at ticket counter.",,1
31,"Empire Airlines","http://www.empireair.com","208.292.3850","FedEx Feeder ABQ, AFW, ANC, CPR, GEG, JUN, OAK, PDX, PHX, RAP, SBA to various US destinations. Jumpseats on ATRs and F-27s only. Check-in at station.",,1
32,"ERA Aviation Inc.","http://www.flyera.com","800.866.8394","Alaska Airlines partner ANC, BET. Gate check-in. Dispatch 907.243.6633. Check website or call 800.843.1947. Multiple j/s.",,1
33,"Evergreen Intl Airlines","http://www.evergreenairlines.com","800.383.5338","747s Worldwide except for military charters. Business attire. Call Travel Desk or Dispatch (above) or 503.472.0011 to reserve at least 48 hours prior. Check-in NLT 1 hour prior intl or 30 min prior domestic.",,1
